gene
Dsg4
Gcsam
Lalba
Sult1c1
Apom
Mbl2
Il18rap
Acsm3
AY074887
Sp8
Cxcr3
Gja10
mt-Co3
Snora21
Rny1
Olfr313
Platr27
Dlx6os1
Vmn2r86
Kdm4dl
Cldn25
ENSMUSG00000120057
ENSMUSG00000120693
ENSMUSG00000120819
ENSMUSG00002075551
ENSMUSG00002076103
ENSMUSG00002076213
Ifi27l2b
Gdf5
Pnpla1
Insc
Htr5b
Cib4
mt-Rnr2
mt-Nd1
mt-Co1
mt-Cytb
Mrgprb5
Tmigd3
Arhgap15os
Snora15
ENSMUSG00000120678
ENSMUSG00000121092
Depdc1a
