gene
Sell
Slc28a2
Meox2
Albfm1
Speer4cos
Vmn2r115
ENSMUSG00002076578
Mgst3
Stmn3
Rpl22
Fau
Atp5l
Gldn
Rtl8c
Gapdh
Snu13
Ifit1bl1
Sox5os2
Dnaja1-ps
Cd3g
Rapsn
Pon1
Apoe
Crhr2
Apoa2
Rdm1
Ebf3
Mcemp1
Nipsnap3b
Notch4
Hsd17b1
Hormad2
Igfbp1
Tmem132e
Cacng1
Spns3
Rph3al
Ngb
Serpina3n
Vsx2
Cinp
Nkx3-1
Acod1
Cyp2d26
Ahsg
Grik1
Psmb8
Myo7b
Ms4a6b
Ostf1
Lipk
Slc29a2
Cnnm1
Tsr2
Cdh9
Crisp1
Scart1
Cdhr5
Myo3a
Cd28
Olah
Tnfsf4
Spaca9
Oxt
Il1b
Cstf1
Sall4
Car13
Trpc3
Kcnq5
Ccn1
Fancg
Extl1
Csf3r
Fgr
Plb1
Nmu
Cyp2w1
Spdye4b
Rasl11a
Lrrc23
St8sia1
Lilra6
Siglecg
Calcb
Plekhb1
Hsd17b14
Tex36
Asb11
Eif4ebp1
Tbx20
Apoc3
Apoa1
Lipc
Stra6
Ube2cbp
Alox12b
Nfyc
Slc9c1
Ano7
Pik3ip1
Gpsm3
Arl4d
Tmem106a
Shq1
Pcsk7
Reep6
Rpp25l
Nfkbid
Mgarp
Tmem97
Mbl1
P3h2
Elovl3
Naif1
Alg1
Cdsn
Gpr26
Apoc1
Slc16a11
Syt15
Fbxo2
Cmklr1
Trem1
Olfr648
Casc1
Penk
Lrtm1
C2cd4c
Mageb16
Angptl8
A4galt
Ripply2
Pcdhb18
Il23r
Ugt3a2
Prokr1
Spata31d1a
Rgs13
Nyx
Apon
Fam243
Dand5
Ceacam10
Tmprss11e
Capg
Ttc26
Prr19
Skap2
Olfr224
Aldoart1
Olfr1420
Plac1
Blnk
Rag1
Ttr
Ces1e
Abca14
Cks1brt
Parp10
Gpx1
Snord58b
Hes6
H2-T23
Selenbp1
Usp9y
Cd300ld3
Cd300ld4
Stfa1
Phldb3
Pira12
Traj59
Zfp988
Naip2
Arhgap8
Neu2
H2-Q1
Naip3
Kbtbd8os
Tsix
Rab11fip4os1
Mir1931
Cd300ld5
Pira2
Vmn2r77
AU040972
Cldn20
Vmn2r113
Zfp853
Gfy
Vmn2r31
Cpeb1os1
Vmn1r80
ENSMUSG00000120333
ENSMUSG00000120562
ENSMUSG00000120677
ENSMUSG00000120771
ENSMUSG00000120876
ENSMUSG00000121257
ENSMUSG00002074849
