gene
Pan2
Cdh4
Trappc10
Galnt1
Zfp512b
Fmr1
Agpat3
Sema6b
Mef2d
Rac1
Ltbp1
Nacc1
Sipa1l2
Paxip1
Nr2f6
Prkd1
Baz1b
Pex6
Arrdc2
Prkar2b
Stk11
Foxj2
Dvl3
Btbd2
Csnk1g2
Grik5
Aven
Pkn2
Ulk2
Plekha8
Ubqln1
Prkaca
Trim28
Ube2m
Adcy9
Slc30a4
Ephb3
Clint1
Neurl1a
Mark3
Gatad1
Khsrp
Tle1
Herpud2
Syn2
Pou6f1
Ubp1
Faf1
Odc1
Sptbn4
Ptprs
Pten
Ube2z
Naf1
Casd1
Srf
Eps8
Stk32c
Sertad4
Kcnq2
Mapkapk2
Plcg1
Timp2
Top2b
Suz12
Rhbdl3
Rab5a
Ncor1
Fxr2
Ywhah
Ahr
Mtrf1l
Sec63
Wasf1
Fyn
Fam184a
Cdk17
Ntn4
Tysnd1
Lrig3
Peli1
Dip2a
Ppp2ca
Hnrnpab
Cnot6
Rufy1
Rnf130
Kremen1
Patz1
Ccdc117
Rnf187
Ppm1d
Klhl29
Itsn2
Adcy3
Rasl10b
Map3k3
Trim47
Mxra7
Fbxl20
Strn3
Klhdc2
Zc3h14
Ralgapa1
Sgpp1
Ppm1a
Glrx5
Esyt2
Zfp839
Tnfaip2
Gli3
Mrs2
Mcur1
Nup153
Habp4
Rasa1
Clptm1l
Aggf1
Jmy
Mrps30
Glud1
Bmpr1a
Peli2
Slmap
Ppp3cc
Bmp1
Carmil3
Ank
Asap1
Cyrib
Nptxr
Josd1
Shisa9
Cpox
Yars2
Gsk3b
Slc49a4
Senp2
Btg3
Usp25
Brwd1
Donson
Scaf4
Scn8a
Gtf2ird1
Noct
Ube2j2
Marchf5
Rps6ka2
Igf2r
Chd1
Satb1
Brd4
Mtch1
Clip4
Rhoq
Pgap6
Nudt3
Fkbp5
Wac
Ccny
Mal2
Ankhd1
Lmnb1
Isoc1
Carnmt1
Zfand5
Jak2
Chka
Ltbp3
Mark2
Tm9sf3
Mxi1
Trim8
Taf5
Btbd1
Hdgfl3
Alyref
Rfng
Ldb1
Fgd1
Ptprj
Paip1
Inpp5a
Hras
Farp1
Dock9
Marchf8
Sdc3
Rassf3
Pard3
Unc5a
Rb1cc1
Cracdl
Tmem131
Smap1
Ogfrl1
Agfg1
Pam
Cdc73
Arl8a
Lamc1
Kctd3
Uhmk1
Bmi1
Dnm1
Upp2
Strbp
Abca2
Rbms1
Ube2e3
Stk39
Itgav
Trim44
Creb3l1
Cdan1
Ptpra
Atrn
Snta1
Zdbf2
E2f5
Ralgapb
Dhx36
Tsc22d2
Ahcyl1
Pla2g12a
Sh3d19
Gclm
Rap1gds1
Tspan5
Ppp3ca
Nsmaf
Faxc
Map3k7
Akirin2
Ugcg
Bag1
Npr2
Psip1
Rnf11
Usp1
Caap1
Ybx1
Macf1
Pithd1
Rnf220
Plk3
Eif4g3
Rnf19b
Sfpq
Map7d1
Yrdc
Espn
Nol9
H6pd
Slc25a33
Ctnnbip1
Lrrc47
Tprgl
Gnb1
Htt
Klf3
Pds5a
Guf1
Chic2
Tmem165
Coq2
Cds1
Wsb2
Mthfd2l
Shroom3
Slc15a4
Brap
Atp2a2
Srsf9
Dtx1
Usp12
Gigyf1
Klhdc10
Trim24
Lrig1
Mogs
Tmf1
Klf15
Edem1
Ret
Lrp6
Aebp2
Kras
Etnk1
Cmas
Slc6a11
Dmwd
Uri1
Tarsl2
Crtc3
Eed
Pde3b
Maz
Thap12
Rbbp6
Cdk16
Otud5
Hccs
Lamp1
Tnks
Wwc2
Rbpms
Klhl2
Brd7
Eif2ak3
Smarca5
St3gal2
Amfr
Zdhhc7
Oaf
Carm1
Rnf111
Drd2
Ptpn9
Neo1
Gclc
Clstn2
Dclk3
Trak1
Topbp1
Prkar2a
Eml4
Igdcc4
Trpc1
Pkd1
Fbxw8
Inha
Cdc14b
Tmed7
Scaf11
Ptprf
Ctdp1
Trappc8
Tagap
Fhip2a
Larp4b
Znrf1
Cep350
Gabrb3
Foxn3
Klf9
Srsf2
Lrrc58
Gpc1
Arhgap27
Zxdc
Pkd2
Ice1
Ptpn13
Ppm1h
Bmp2k
Sema3f
Map4k5
Dusp5
Gna11
Colgalt1
Plvap
Sidt2
Synrg
Dapk3
Plekhh3
Rcbtb1
Prdm4
Dcaf10
Midn
Selenoo
Cerk
Fmnl2
Slain2
Arl5a
Ube2r2
Igfbp7
Macrod1
Naa30
Slc2a13
Siah2
Adamts2
Ttyh3
Mgat4b
Cab39
Oxsr1
Tent4b
Ssx2ip
Siah1a
Smad6
Neto2
Kdm1a
Otud4
Inhbb
Socs5
Fam91a1
Mxd4
Ctbp1
Dmxl1
Fam168b
Pank2
Ppfia1
Tob1
Prkci
Ddhd1
Actr5
Vstm2l
Arap2
Dexi
Mlxip
Ncoa6
Pals2
Tfdp1
Ptov1
Parp12
Pptc7
Ric1
Golga4
Mvb12b
Smurf1
Ythdf1
Man2a2
Cables2
Zzz3
Lsm14b
Sart1
Stim2
Ube2h
Akap7
Mreg
Zdhhc2
Prex1
Cpeb3
Icmt
Cited2
Plcb4
Ankrd13c
Cbx4
Gnaz
Lats1
Elavl1
Plpp6
Pnrc1
Nsmce4a
Ankib1
Map3k10
Abhd13
Slc25a28
Btaf1
Efhd2
Cep126
Crocc
Osbpl10
Fbxw4
Cables1
Trim62
Irgq
Fzd7
Zfp598
Sntb2
Wapl
Dicer1
Mfsd6
Stx3
Camsap2
Myrip
Ankrd13a
Msantd2
Sanbr
Ttc19
