gene
Il12b
Nalcn
Th
Sox9
Kat2b
Fbxo9
Naglu
Slc1a5
Srpk3
Unc119
Dbf4
Ocel1
Il17ra
Lamb1
Tomm40
Tbc1d8
Mpnd
Glg1
Abhd17a
Rnf215
Nfat5
Clcn5
Mcoln1
Mri1
Spc25
Letm1
Celf1
Trh
Tpr
Pdk1
Ctnnb1
Fzd3
Hnrnpl
Lama5
Prpsap1
Gtf2ird2
Fnta
Lonrf3
Dyrk3
Srsf6
Kctd5
Birc5
Srsf1
C1qbp
Cog1
Nop9
Hdac2
Ube2d1
Atp2b1
Pex7
Osbpl8
Fzr1
Sptbn1
Mrps24
Dynll2
Cox11
Rab10
Ern1
Pimreg
Vamp2
Aurkb
Myh10
Top2a
Sptb
Smoc1
Eif5
Dek
Pxdc1
Cxcl14
Gkap1
Nsun2
Atxn7
Cspg4b
Nr1d2
Ero1a
Capn7
Pspc1
Zmym2
Gpr180
Prkdc
Itsn1
Ifngr2
Akirin1
Epb42
Celsr3
Smchd1
Galnt14
Birc6
Strn
Lrpprc
Dhx16
Ndfip1
Gabbr1
Camk2a
Hmgxb3
Rfk
Chuk
Oga
Tbl1x
Fam120c
Ube3a
Itgb1
Kansl1l
Rev1
Rassf5
Stx6
Ahctf1
Uck2
Dcaf6
Atp1b1
Galnt3
Mtx2
Slc12a6
Hipk3
Ext2
Zfp106
Dnaaf9
Spred1
Tbc1d20
Rae1
Epb41l1
Mfn1
Ttc14
P2ry1
Ppm1l
Prpf38b
Vcam1
Snx27
Col24a1
Nr4a3
Snx30
Bspry
Mpdz
Unc13b
Dock7
Hook1
Plaa
Csmd2
Fam126a
Stk32b
Srrd
Zfp12
Wasl
Avl9
Sumf1
Synm
Fam98c
Rab6a
Nomo1
Mettl9
Mki67
F8
Gas6
Eri1
Gpt2
Mau2
Atp13a1
Mtmr2
Vps26b
Rdx
Rp9
Fem1b
Kif23
Rcn2
Dpp8
Stt3b
Vipr1
Atp2c1
Abcc4
Arhgef17
Acsl3
Foxj3
Clec1a
Map2k4
Agl
Cacul1
Specc1l
Pdpr
Aspm
Ppp3r1
Tmed8
Tpst1
Tmem30b
Gulo
Tiparp
Otoa
Secisbp2l
Gcfc2
Ints6
Hpse
Tab3
Ntng2
Rsf1
Dync1li2
Fbxw2
Qsox2
Fam13b
Sbf1
Dner
Fam135b
Rsrp1
Ttc13
Slc9a7
Ccn3
Rims2
Slc2a12
Phyhipl
Fam76b
Ccdc92
Rapgefl1
Kmt2c
Trpc4ap
Samd10
Med30
Hace1
Prc1
Ak5
Polg
Srrm2
Fut11
Ppl
Fam149b
Hnrnpu
Cplane1
Hip1
Zfp292
Nxph4
Rundc3b
Ofd1
Madd
Ints8
Reps2
Slc19a2
Npnt
Pcf11
Zfp281
Cep78
Pde3a
Pkp2
Arhgef11
Ncapg2
Dstyk
Tent2
Zfp451
Crtac1
Mfap4
Usp22
Rasef
Ppp2r3a
Simc1
Gpr135
Setx
Fem1a
Ptpn11
Tmem145
Clrn1
Pcdhb21
Rsbn1
Nhlrc1
Dsg2
Csrnp2
Tmem201
Macir
Med26
E2f8
She
Ermp1
Sox18
Zfp740
Zfp445
Lancl3
Msl3l2
Col6a3
Lhfp
Fam171b
Mlec
Tprn
Rimkla
Rarres1
Bdp1
Haspin
Snip1
Ndufaf6
Carmil2
Arf3
Acvr2a
Plxnb1
Mdm4
Eif3b
Aak1
Adamts17
Samd5
Exoc5
Btbd3
Unc5d
Nr6a1
Cnnm2
Mir212
Ubr4
Cbln4
Zfp760
Zfp125
Nsmce3
Pnma8b
Nfxl1
Nudt11
Ppp1r12b
Serpinb3c
Tmem88b
Fat3
Zcchc3
Zbtb2
Chml
Zfp664
Catspere2
Ppp2r3d
Rnaset2b
ENSMUSG00000095562
Norad
Spata5l1
ENSMUSG00000120048
ENSMUSG00000120151
